current_time,waiting_time
11.0,0.0
51.0,0.0
91.0,11.0
131.0,192.0
171.0,437.0
211.0,446.0
251.0,191.0
291.0,379.0
331.0,363.0
371.0,458.0
411.0,346.0
451.0,565.0
491.0,507.0
531.0,407.0
571.0,292.0
611.0,566.0
651.0,485.0
691.0,415.0
731.0,367.0
771.0,534.0
811.0,483.0
851.0,455.0
891.0,414.0
931.0,643.0
971.0,355.0
1011.0,281.0
1051.0,375.0
1091.0,470.0
1131.0,393.0
1171.0,405.0
1211.0,312.0
1251.0,477.0
1291.0,344.0
1331.0,392.0
1371.0,407.0
1411.0,456.0
1451.0,397.0
1491.0,556.0
1531.0,418.0
1571.0,541.0
1611.0,369.0
1651.0,393.0
1691.0,398.0
1731.0,556.0
1771.0,425.0
1811.0,457.0
1851.0,321.0
1891.0,545.0
1931.0,414.0
1971.0,417.0
2011.0,306.0
2051.0,524.0
2091.0,427.0
2131.0,496.0
2171.0,406.0
2211.0,483.0
2251.0,455.0
2291.0,425.0
2331.0,325.0
2371.0,540.0
2411.0,423.0
2451.0,442.0
2491.0,329.0
2531.0,484.0
2571.0,435.0
2611.0,505.0
2651.0,440.0
2691.0,597.0
2731.0,552.0
2771.0,415.0
2811.0,324.0
2851.0,481.0
2891.0,431.0
2931.0,387.0
2971.0,221.0
3011.0,270.0
3051.0,244.0
3091.0,251.0
3131.0,282.0
3171.0,391.0
3211.0,243.0
3251.0,282.0
3291.0,335.0
3331.0,630.0
3371.0,501.0
3411.0,425.0
3451.0,339.0
3491.0,488.0
3531.0,467.0
3571.0,474.0
3611.0,276.0
3651.0,425.0
3691.0,340.0
3731.0,373.0
3771.0,196.0
3811.0,459.0
3851.0,510.0
3891.0,431.0
3931.0,320.0
3971.0,551.0
4011.0,433.0
4051.0,344.0
4091.0,234.0
4131.0,498.0
4171.0,395.0
4211.0,335.0
4251.0,242.0
4291.0,430.0
4331.0,358.0
4371.0,220.0
4411.0,231.0
4451.0,404.0
4491.0,320.0
4531.0,335.0
4571.0,266.0
4611.0,474.0
4651.0,419.0
4691.0,349.0
4731.0,334.0
4771.0,518.0
4811.0,439.0
4851.0,420.0
4891.0,365.0
4931.0,425.0
4971.0,453.0
5011.0,459.0
5051.0,353.0
5091.0,556.0
5131.0,412.0
5171.0,430.0
5211.0,292.0
5251.0,499.0
5291.0,477.0
5331.0,372.0
5371.0,310.0
5411.0,477.0
5451.0,456.0
5491.0,443.0
5531.0,345.0
5571.0,584.0
5611.0,527.0
5651.0,424.0
5691.0,389.0
5731.0,548.0
5771.0,510.0
5811.0,468.0
5851.0,292.0
5891.0,440.0
5931.0,415.0
5971.0,356.0
6011.0,286.0
6051.0,441.0
6091.0,403.0
6131.0,499.0
6171.0,276.0
6211.0,484.0
6251.0,461.0
6291.0,326.0
6331.0,267.0
6371.0,394.0
6411.0,506.0
6451.0,428.0
6491.0,262.0
6531.0,537.0
6571.0,454.0
6611.0,393.0
6651.0,308.0
6691.0,447.0
6731.0,308.0
6771.0,296.0
6811.0,230.0
6851.0,432.0
6891.0,394.0
6931.0,407.0
6971.0,330.0
7011.0,476.0
7051.0,415.0
7091.0,385.0
7131.0,302.0
7171.0,524.0
7211.0,403.0
7251.0,344.0
7291.0,367.0
7331.0,599.0
7371.0,453.0
7411.0,430.0
7451.0,301.0
7491.0,465.0
7531.0,372.0
7571.0,306.0
7611.0,306.0
7651.0,593.0
7691.0,446.0
7731.0,425.0
7771.0,269.0
7811.0,530.0
7851.0,470.0
7891.0,368.0
7931.0,277.0
7971.0,576.0
8011.0,516.0
8051.0,451.0
8091.0,301.0
8131.0,556.0
8171.0,409.0
8211.0,384.0
8251.0,406.0
8291.0,621.0
8331.0,407.0
8371.0,361.0
8411.0,233.0
8451.0,414.0
8491.0,369.0
8531.0,333.0
8571.0,270.0
8611.0,575.0
8651.0,489.0
8691.0,422.0
8731.0,413.0
8771.0,548.0
8811.0,491.0
8851.0,442.0
8891.0,272.0
8931.0,392.0
8971.0,342.0
9011.0,346.0
9051.0,392.0
9091.0,434.0
9131.0,434.0
9171.0,492.0
9211.0,354.0
9251.0,519.0
9291.0,460.0
9331.0,370.0
9371.0,263.0
9411.0,445.0
9451.0,327.0
9491.0,424.0
9531.0,248.0
9571.0,437.0
9611.0,451.0
9651.0,336.0
9691.0,291.0
9731.0,469.0
9771.0,434.0
9811.0,470.0
9851.0,367.0
9891.0,528.0
9931.0,496.0
9971.0,395.0
10011.0,318.0
10051.0,556.0
10091.0,490.0
10131.0,445.0
10171.0,240.0
10211.0,306.0
10251.0,303.0
10291.0,430.0
10331.0,446.0
10371.0,546.0
10411.0,292.0
10451.0,354.0
10491.0,264.0
10531.0,381.0
10571.0,502.0
10611.0,421.0
10651.0,278.0
10691.0,484.0
10731.0,439.0
10771.0,438.0
10811.0,347.0
10851.0,507.0
10891.0,442.0
10931.0,357.0
10971.0,262.0
11011.0,495.0
11051.0,414.0
11091.0,379.0
11131.0,307.0
11171.0,533.0
11211.0,489.0
11251.0,359.0
11291.0,258.0
11331.0,454.0
11371.0,367.0
11411.0,493.0
11451.0,367.0
11491.0,467.0
11531.0,359.0
11571.0,343.0
11611.0,331.0
11651.0,463.0
11691.0,448.0
11731.0,506.0
11771.0,388.0
11811.0,569.0
11851.0,571.0
11891.0,548.0
11931.0,409.0
11971.0,452.0
12011.0,456.0
12051.0,439.0
12091.0,296.0
12131.0,430.0
12171.0,449.0
12211.0,416.0
12251.0,325.0
12291.0,522.0
12331.0,506.0
12371.0,492.0
12411.0,338.0
12451.0,453.0
12491.0,376.0
12531.0,406.0
12571.0,321.0
12611.0,518.0
12651.0,430.0
12691.0,388.0
12731.0,284.0
12771.0,401.0
12811.0,371.0
12851.0,424.0
12891.0,322.0
12931.0,442.0
12971.0,412.0
13011.0,357.0
13051.0,341.0
13091.0,504.0
13131.0,421.0
13171.0,450.0
13211.0,210.0
13251.0,399.0
13291.0,397.0
13331.0,500.0
13371.0,353.0
13411.0,522.0
13451.0,354.0
13491.0,308.0
13531.0,331.0
13571.0,537.0
13611.0,439.0
13651.0,413.0
13691.0,364.0
13731.0,472.0
13771.0,434.0
13811.0,443.0
13851.0,362.0
13891.0,550.0
13931.0,495.0
13971.0,427.0
14011.0,299.0
14051.0,416.0
14091.0,345.0
14131.0,460.0
14171.0,369.0
14211.0,647.0
14251.0,539.0
14291.0,470.0
14331.0,343.0
14371.0,380.0
14411.0,401.0
14451.0,249.0
14491.0,331.0
14531.0,528.0
14571.0,421.0
14611.0,515.0
14651.0,396.0
14691.0,458.0
14731.0,356.0
14771.0,384.0
14811.0,319.0
14851.0,550.0
14891.0,429.0
14931.0,279.0
14971.0,233.0
15011.0,439.0
15051.0,407.0
15091.0,401.0
15131.0,376.0
15171.0,490.0
15211.0,322.0
15251.0,360.0
15291.0,270.0
15331.0,448.0
15371.0,500.0
15411.0,561.0
15451.0,415.0
15491.0,541.0
15531.0,418.0
15571.0,449.0
15611.0,301.0
15651.0,565.0
15691.0,489.0
15731.0,459.0
15771.0,392.0
15811.0,516.0
15851.0,385.0
15891.0,330.0
15931.0,338.0
15971.0,543.0
16011.0,553.0
16051.0,524.0
16091.0,462.0
16131.0,549.0
16171.0,404.0
16211.0,410.0
16251.0,365.0
16291.0,595.0
16331.0,570.0
16371.0,570.0
16411.0,302.0
16451.0,457.0
16491.0,378.0
16531.0,422.0
16571.0,367.0
16611.0,586.0
16651.0,537.0
16691.0,504.0
16731.0,367.0
16771.0,535.0
16811.0,457.0
16851.0,428.0
16891.0,344.0
16931.0,536.0
16971.0,448.0
17011.0,393.0
17051.0,278.0
17091.0,455.0
17131.0,381.0
17171.0,351.0
17211.0,216.0
17251.0,367.0
17291.0,350.0
17331.0,347.0
17371.0,219.0
17411.0,474.0
17451.0,528.0
17491.0,594.0
17531.0,372.0
17571.0,450.0
17611.0,426.0
17651.0,406.0
17691.0,356.0
17731.0,576.0
17771.0,410.0
17811.0,442.0
17851.0,362.0
17891.0,455.0
17931.0,422.0
17971.0,444.0
18011.0,272.0
18051.0,427.0
18091.0,425.0
18131.0,367.0
18171.0,281.0
18211.0,486.0
18251.0,367.0
18291.0,377.0
18331.0,288.0
18371.0,469.0
18411.0,440.0
18451.0,474.0
18491.0,350.0
18531.0,594.0
18571.0,419.0
18611.0,341.0
18651.0,299.0
18691.0,440.0
18731.0,403.0
18771.0,377.0
18811.0,319.0
18851.0,586.0
18891.0,439.0
18931.0,334.0
18971.0,371.0
19011.0,679.0
19051.0,473.0
19091.0,410.0
19131.0,300.0
19171.0,531.0
19211.0,416.0
19251.0,454.0
19291.0,323.0
19331.0,482.0
19371.0,411.0
19411.0,402.0
19451.0,332.0
19491.0,633.0
19531.0,417.0
19571.0,348.0
19611.0,290.0
19651.0,369.0
19691.0,396.0
19731.0,445.0
19771.0,302.0
19811.0,487.0
19851.0,422.0
19891.0,412.0
19931.0,300.0
19971.0,513.0
20011.0,352.0
20051.0,370.0
20091.0,214.0
20131.0,423.0
20171.0,516.0
20211.0,505.0
20251.0,379.0
20291.0,557.0
20331.0,443.0
20371.0,439.0
20411.0,308.0
20451.0,554.0
20491.0,643.0
20531.0,442.0
20571.0,390.0
20611.0,571.0
20651.0,432.0
20691.0,422.0
20731.0,326.0
20771.0,442.0
20811.0,386.0
20851.0,314.0
20891.0,286.0
20931.0,485.0
20971.0,358.0
21011.0,381.0
21051.0,295.0
21091.0,502.0
21131.0,461.0
21171.0,460.0
21211.0,298.0
21251.0,338.0
21291.0,333.0
21331.0,427.0
21371.0,392.0
21411.0,637.0
21451.0,492.0
21491.0,421.0
21531.0,345.0
21571.0,548.0
21611.0,580.0
21651.0,478.0
21691.0,348.0
21731.0,527.0
21771.0,516.0
21811.0,557.0
21851.0,314.0
21891.0,538.0
21931.0,472.0
21971.0,408.0
22011.0,316.0
22051.0,498.0
22091.0,458.0
22131.0,483.0
22171.0,368.0
22211.0,607.0
22251.0,585.0
22291.0,374.0
22331.0,292.0
22371.0,449.0
22411.0,360.0
22451.0,374.0
22491.0,246.0
22531.0,378.0
22571.0,458.0
22611.0,485.0
22651.0,304.0
22691.0,441.0
22731.0,392.0
22771.0,387.0
22811.0,322.0
22851.0,471.0
22891.0,394.0
22931.0,523.0
22971.0,351.0
23011.0,551.0
23051.0,357.0
23091.0,495.0
23131.0,412.0
23171.0,619.0
23211.0,515.0
23251.0,353.0
23291.0,266.0
23331.0,434.0
23371.0,435.0
23411.0,376.0
23451.0,270.0
23491.0,409.0
23531.0,425.0
23571.0,431.0
23611.0,208.0
23651.0,420.0
23691.0,408.0
23731.0,449.0
23771.0,345.0
23811.0,624.0
23851.0,530.0
23891.0,403.0
23931.0,260.0
23971.0,541.0
24011.0,417.0
24051.0,349.0
24091.0,234.0
24131.0,461.0
24171.0,518.0
24211.0,430.0
24251.0,288.0
24291.0,489.0
24331.0,290.0
24371.0,313.0
24411.0,209.0
24451.0,443.0
24491.0,451.0
24531.0,460.0
24571.0,394.0
24611.0,566.0
24651.0,449.0
24691.0,452.0
24731.0,316.0
24771.0,583.0
24811.0,511.0
24851.0,458.0
24891.0,280.0
24931.0,445.0
24971.0,500.0
25011.0,465.0
25051.0,387.0
25091.0,540.0
25131.0,346.0
