interval_begin;interval_end;interval_haltingDurationSum;interval_id;interval_intervalHaltingDurationSum;interval_jamLengthInMetersSum;interval_jamLengthInVehiclesSum;interval_maxHaltingDuration;interval_maxIntervalHaltingDuration;interval_maxJamLengthInMeters;interval_maxJamLengthInVehicles;interval_maxOccupancy;interval_maxVehicleNumber;interval_meanHaltingDuration;interval_meanIntervalHaltingDuration;interval_meanMaxJamLengthInMeters;interval_meanMaxJamLengthInVehicles;interval_meanOccupancy;interval_meanSpeed;interval_meanTimeLoss;interval_meanVehicleNumber;interval_nVehEntered;interval_nVehLeft;interval_nVehSeen;interval_sampledSeconds;interval_startedHalts
0.00;40.00;0.00;id_E0_0;0.00;0.00;0;0.00;0.00;0.00;0;1.44;4;0.00;0.00;0.00;0.00;0.78;12.69;2.20;2.17;4;0;4;87.00;0.00
0.00;40.00;0.00;id_E0_1;0.00;0.00;0;0.00;0.00;0.00;0;0.36;1;0.00;0.00;0.00;0.00;0.30;11.87;1.39;0.82;3;2;3;33.00;0.00
0.00;40.00;0.00;id_E0_2;0.00;0.00;0;0.00;0.00;0.00;0;0.36;1;0.00;0.00;0.00;0.00;0.20;9.98;3.14;0.55;2;2;2;22.00;0.00
0.00;40.00;0.00;id_-E1_0;0.00;0.00;0;0.00;0.00;0.00;0;1.84;4;0.00;0.00;0.00;0.00;1.01;11.99;2.04;2.20;5;1;5;88.00;0.00
0.00;40.00;0.00;id_-E1_1;0.00;0.00;0;0.00;0.00;0.00;0;0.92;2;0.00;0.00;0.00;0.00;0.46;11.56;1.58;1.00;4;3;4;40.00;0.00
0.00;40.00;1.00;id_-E1_2;1.00;0.00;0;1.00;1.00;0.00;0;0.46;1;1.00;1.00;0.00;0.00;0.16;11.24;3.54;0.35;1;1;1;14.00;1.00
0.00;40.00;0.00;id_-E2_0;0.00;0.00;0;0.00;0.00;0.00;0;1.52;3;0.00;0.00;0.00;0.00;0.76;11.85;2.47;1.50;3;0;3;60.00;0.00
0.00;40.00;1.00;id_-E2_1;1.00;0.00;0;1.00;1.00;0.00;0;1.01;2;1.00;1.00;0.00;0.00;0.53;11.55;2.81;1.05;2;2;2;42.00;1.00
0.00;40.00;0.00;id_-E2_2;0.00;0.00;0;0.00;0.00;0.00;0;0.51;1;0.00;0.00;0.00;0.00;0.23;10.36;2.84;0.45;1;1;1;18.00;0.00
0.00;40.00;0.00;id_-E3_0;0.00;0.00;0;0.00;0.00;0.00;0;1.01;3;0.00;0.00;0.00;0.00;0.62;12.29;2.12;1.85;3;0;3;74.00;0.00
