interval_begin;interval_end;interval_haltingDurationSum;interval_id;interval_intervalHaltingDurationSum;interval_jamLengthInMetersSum;interval_jamLengthInVehiclesSum;interval_maxHaltingDuration;interval_maxIntervalHaltingDuration;interval_maxJamLengthInMeters;interval_maxJamLengthInVehicles;interval_maxOccupancy;interval_maxVehicleNumber;interval_meanHaltingDuration;interval_meanIntervalHaltingDuration;interval_meanMaxJamLengthInMeters;interval_meanMaxJamLengthInVehicles;interval_meanOccupancy;interval_meanSpeed;interval_meanTimeLoss;interval_meanVehicleNumber;interval_nVehEntered;interval_nVehLeft;interval_nVehSeen;interval_sampledSeconds;interval_startedHalts
0.00;40.00;0.00;id_E0_0;0.00;0.00;0;0.00;0.00;0.00;0;1.80;5;0.00;0.00;0.00;0.00;0.79;12.68;1.77;2.20;5;0;5;88.00;0.00
0.00;40.00;0.00;id_E0_1;0.00;0.00;0;0.00;0.00;0.00;0;0.72;2;0.00;0.00;0.00;0.00;0.35;10.99;1.75;0.97;4;3;4;39.00;0.00
0.00;40.00;0.00;id_E0_2;0.00;0.00;0;0.00;0.00;0.00;0;0.36;1;0.00;0.00;0.00;0.00;0.20;9.96;3.05;0.55;2;2;2;22.00;0.00
0.00;40.00;0.00;id_-E1_0;0.00;0.00;0;0.00;0.00;0.00;0;2.30;5;0.00;0.00;0.00;0.00;1.02;11.97;2.05;2.23;5;1;5;89.00;0.00
0.00;40.00;0.00;id_-E1_1;0.00;0.00;0;0.00;0.00;0.00;0;0.92;2;0.00;0.00;0.00;0.00;0.52;11.70;1.30;1.12;5;4;5;45.00;0.00
0.00;40.00;1.00;id_-E1_2;1.00;0.00;0;1.00;1.00;0.00;0;0.46;1;1.00;1.00;0.00;0.00;0.23;10.10;3.14;0.50;2;2;2;20.00;1.00
0.00;40.00;0.00;id_-E2_0;0.00;0.00;0;0.00;0.00;0.00;0;1.52;3;0.00;0.00;0.00;0.00;0.76;11.85;2.53;1.50;3;0;3;60.00;0.00
0.00;40.00;1.00;id_-E2_1;1.00;0.00;0;1.00;1.00;0.00;0;1.01;2;1.00;1.00;0.00;0.00;0.53;11.55;2.81;1.05;2;2;2;42.00;1.00
0.00;40.00;0.00;id_-E2_2;0.00;0.00;0;0.00;0.00;0.00;0;0.51;1;0.00;0.00;0.00;0.00;0.23;10.36;2.84;0.45;1;1;1;18.00;0.00
0.00;40.00;0.00;id_-E3_0;0.00;0.00;0;0.00;0.00;0.00;0;1.01;3;0.00;0.00;0.00;0.00;0.62;12.29;2.12;1.85;3;0;3;74.00;0.00
0.00;40.00;0.00;id_-E3_1;0.00;0.00;0;0.00;0.00;0.00;0;0.34;1;0.00;0.00;0.00;0.00;0.26;12.47;2.12;0.78;2;2;2;31.00;0.00
0.00;40.00;0.00;id_-E3_2;0.00;0.00;0;0.00;0.00;0.00;0;0.34;1;0.00;0.00;0.00;0.00;0.15;9.02;3.18;0.45;2;2;2;18.00;0.00
40.00;80.00;0.00;id_E0_0;0.00;0.00;0;0.00;0.00;0.00;0;3.25;9;0.00;0.00;0.00;0.00;2.49;12.71;1.84;6.90;5;1;10;276.00;0.00
40.00;80.00;0.00;id_E0_1;0.00;0.00;0;0.00;0.00;0.00;0;1.08;3;0.00;0.00;0.00;0.00;0.26;11.81;0.87;0.72;3;3;4;29.00;0.00
40.00;80.00;0.00;id_E0_2;0.00;0.00;0;0.00;0.00;0.00;0;0.36;1;0.00;0.00;0.00;0.00;0.05;6.83;2.62;0.15;1;1;1;6.00;0.00
40.00;80.00;0.00;id_-E1_0;0.00;0.00;0;0.00;0.00;0.00;0;3.68;8;0.00;0.00;0.00;0.00;2.89;12.29;1.75;6.28;6;3;10;251.00;0.00
40.00;80.00;1.00;id_-E1_1;1.00;0.00;0;1.00;1.00;0.00;0;0.92;2;1.00;1.00;0.00;0.00;0.49;12.21;0.85;1.07;5;4;6;43.00;1.00
40.00;80.00;0.00;id_-E1_2;0.00;0.00;0;0.00;0.00;0.00;0;0.92;2;0.00;0.00;0.00;0.00;0.32;12.11;2.34;0.70;2;1;2;28.00;0.00
40.00;80.00;0.00;id_-E2_0;0.00;0.00;0;0.00;0.00;0.00;0;2.03;4;0.00;0.00;0.00;0.00;1.71;13.27;1.66;3.38;3;2;6;135.00;0.00
40.00;80.00;4.00;id_-E2_1;4.00;15.00;3;4.00;4.00;5.00;1;1.52;3;4.00;4.00;0.38;0.07;1.06;11.61;2.54;2.10;5;2;5;84.00;1.00
40.00;80.00;0.00;id_-E2_2;0.00;0.00;0;0.00;0.00;0.00;0;0.51;1;0.00;0.00;0.00;0.00;0.37;11.31;2.01;0.72;2;1;2;29.00;0.00
40.00;80.00;0.00;id_-E3_0;0.00;0.00;0;0.00;0.00;0.00;0;1.35;4;0.00;0.00;0.00;0.00;1.22;12.93;1.16;3.62;3;2;6;145.00;0.00
40.00;80.00;0.00;id_-E3_1;0.00;0.00;0;0.00;0.00;0.00;0;0.67;2;0.00;0.00;0.00;0.00;0.19;13.72;0.26;0.57;4;3;4;23.00;0.00
40.00;80.00;0.00;id_-E3_2;0.00;0.00;0;0.00;0.00;0.00;0;0.34;1;0.00;0.00;0.00;0.00;0.05;7.06;3.31;0.15;1;1;1;6.00;0.00
80.00;120.00;0.00;id_E0_0;0.00;0.00;0;0.00;0.00;0.00;0;3.61;10;0.00;0.00;0.00;0.00;3.16;12.99;1.61;8.80;4;5;13;351.95;0.00
80.00;120.00;4.00;id_E0_1;4.00;15.00;3;4.00;4.00;5.00;1;1.44;4;4.00;4.00;0.38;0.07;0.63;11.51;1.40;1.75;7;4;8;70.00;1.00
80.00;120.00;12.00;id_E0_2;12.00;55.00;11;12.00;12.00;5.00;1;0.72;2;12.00;12.00;1.38;0.28;0.41;8.00;6.63;1.15;3;2;3;46.00;1.00
80.00;120.00;0.00;id_-E1_0;0.00;0.00;0;0.00;0.00;0.00;0;3.68;8;0.00;0.00;0.00;0.00;2.64;12.70;1.03;5.80;8;8;15;231.50;0.00
80.00;120.00;0.00;id_-E1_1;0.00;0.00;0;0.00;0.00;0.00;0;2.30;5;0.00;0.00;0.00;0.00;1.52;12.03;1.11;3.35;9;9;11;133.00;0.00
80.00;120.00;46.00;id_-E1_2;46.00;232.53;44;40.00;40.00;12.52;2;1.38;3;23.00;23.00;5.81;1.10;0.92;4.43;13.65;2.00;3;2;4;80.00;2.00
80.00;120.00;0.00;id_-E2_0;0.00;0.00;0;0.00;0.00;0.00;0;2.03;4;0.00;0.00;0.00;0.00;1.46;12.85;1.55;2.95;2;4;6;117.05;0.00
80.00;120.00;48.00;id_-E2_1;44.00;222.52;43;44.00;40.00;12.51;2;2.53;5;24.00;22.00;5.56;1.07;1.50;7.89;7.36;2.95;4;2;7;118.00;1.00
80.00;120.00;35.00;id_-E2_2;35.00;170.02;33;32.00;32.00;12.51;2;1.52;3;17.50;17.50;4.25;0.82;1.14;7.26;10.57;2.25;3;1;4;90.00;2.00
